source,target,label
wd:Q16916470,wd:Q273570,Scolarité
wd:Q17350079,wd:Q273570,Scolarité
wd:Q17350591,wd:Q273570,Scolarité
wd:Q17626172,wd:Q273570,Scolarité
wd:Q17629021,wd:Q273570,Scolarité
wd:Q17977174,wd:Q273570,Scolarité
wd:Q18115478,wd:Q273570,Scolarité
wd:Q18115496,wd:Q273570,Scolarité
wd:Q18172345,wd:Q273570,Scolarité
wd:Q18391520,wd:Q273570,Scolarité
wd:Q18509073,wd:Q273570,Scolarité
wd:Q18578072,wd:Q273570,Scolarité
wd:Q18744706,wd:Q273570,Scolarité
wd:Q19266265,wd:Q273570,Scolarité
wd:Q19543945,wd:Q273570,Scolarité
wd:Q19606616,wd:Q273570,Scolarité
wd:Q19630162,wd:Q273570,Scolarité
wd:Q19631311,wd:Q273570,Scolarité
wd:Q19952591,wd:Q273570,Scolarité
wd:Q19956440,wd:Q273570,Scolarité
wd:Q20011871,wd:Q273570,Scolarité
wd:Q20203356,wd:Q273570,Scolarité
wd:Q20556667,wd:Q273570,Scolarité
wd:Q20851391,wd:Q273570,Scolarité
wd:Q20961921,wd:Q273570,Scolarité
wd:Q21401806,wd:Q273570,Scolarité
wd:Q21733379,wd:Q273570,Scolarité
wd:Q21937977,wd:Q273570,Scolarité
wd:Q22812367,wd:Q273570,Scolarité
wd:Q22939964,wd:Q273570,Scolarité
wd:Q22996017,wd:Q273570,Scolarité
wd:Q23446593,wd:Q273570,Scolarité
wd:Q24276091,wd:Q273570,Scolarité
wd:Q24928733,wd:Q273570,Scolarité
wd:Q24935589,wd:Q273570,Scolarité
wd:Q24937289,wd:Q273570,Scolarité
wd:Q25391761,wd:Q273570,Scolarité
wd:Q25496816,wd:Q273570,Scolarité
wd:Q25712297,wd:Q273570,Scolarité
wd:Q25932222,wd:Q273570,Scolarité
wd:Q26178941,wd:Q273570,Scolarité
wd:Q26460027,wd:Q273570,Scolarité
wd:Q26954685,wd:Q273570,Scolarité
wd:Q27535600,wd:Q273570,Scolarité
wd:Q27661799,wd:Q273570,Scolarité
wd:Q27834811,wd:Q273570,Scolarité
wd:Q28034989,wd:Q273570,Scolarité
wd:Q28166085,wd:Q273570,Scolarité
wd:Q28543803,wd:Q273570,Scolarité
wd:Q28548090,wd:Q273570,Scolarité
wd:Q28552605,wd:Q273570,Scolarité
wd:Q28587084,wd:Q273570,Scolarité
wd:Q28653124,wd:Q273570,Scolarité
wd:Q28654089,wd:Q273570,Scolarité
wd:Q28657174,wd:Q273570,Scolarité
wd:Q28728353,wd:Q273570,Scolarité
wd:Q28732963,wd:Q273570,Scolarité
wd:Q28739903,wd:Q273570,Scolarité
wd:Q28772035,wd:Q273570,Scolarité
wd:Q28777003,wd:Q273570,Scolarité
wd:Q28803059,wd:Q273570,Scolarité
wd:Q28822713,wd:Q273570,Scolarité
wd:Q28837187,wd:Q273570,Scolarité
wd:Q28845571,wd:Q273570,Scolarité
wd:Q28845813,wd:Q273570,Scolarité
