id,label
wd:Q19543945,Bertrand de Broussillon
wd:Q19630162,Gabriel de Mun
wd:Q2497623,Michel Pastoureau
wd:Q3130381,Henri-François Delaborde
wd:Q36462694,Jean-Jacques Letrait
wd:Q41986048,Catherine Laurent
wd:Q21043236,Sarah Toulouse
wd:Q3132567,Henry d'Allemagne
wd:Q3370333,Paul-Louis Grenier
wd:Q3142044,Hubert Landais
wd:Q2959766,Charles Marty-Laveaux
wd:Q2868977,Athanase Cucheval-Clarigny
wd:Q2960585,Charles de Grandmaison
wd:Q8340353,Georges Weill
wd:Q33878194,Eugène Chatel
wd:Q199985,Arthur de La Borderie
wd:Q310791,Jules Michelet
wd:Q123921,Alfred Métraux
wd:Q35229518,Étienne Delcambre
wd:Q46029250,Hugues-Adrien Joly
wd:Q15076223,Pierre Courcelle
wd:Q34644248,Jules Rimasson
wd:Q3289306,Marcel Poëte
wd:Q3057005,Ernest Hildesheimer
wd:Q2862434,Camille Pelletan
wd:Q4156450,Robert Devreesse
wd:Q3170216,Jean-Yves de Saint-Prest
wd:Q34041255,Léon Aubineau
wd:Q3351082,Olivier Guyotjeannin
wd:Q3034329,Dom Gréa
wd:Q1386130,Marguerite Verdat
wd:Q18510341,Asrail Gourevitch
wd:Q27661799,Michel Durrmeyer
wd:Q3579729,Édouard Baratier
wd:Q17629021,Georges Tholin
wd:Q35237751,Anne Baudot
wd:Q3261827,Louis Duval
wd:Q3507265,Sylvie Aubenas
wd:Q15449654,Bruno Durand
wd:Q15970875,François Chevalier
wd:Q1490053,Jean-Claude Schmitt
wd:Q3371051,Paul Deschamps
wd:Q3308875,Michel Antoine
wd:Q7125916,Henry Lemonnier
wd:Q2926731,Bruno Delmas
wd:Q22910673,Malou Schneider
wd:Q3172319,Jean Glénisson
wd:Q41961995,Solenne Lepage
wd:Q28945134,Paulette Pétras
wd:Q35162580,Lucien Metzger
wd:Q28654089,Marius Barroux
wd:Q3291312,Marianne Mahn-Lot
wd:Q3592368,Étienne Taillemite
wd:Q3154997,Isabelle Neuschwander
wd:Q93897,Jacques Boulenger
wd:Q3439046,Roger Grand
wd:Q3348837,Octave Join-Lambert
wd:Q979783,Charles Thévenin
wd:Q3385922,Pierre Lemoine
wd:Q33879393,Henri Duplès-Agier
wd:Q3173427,Jean Martin-Demézil
wd:Q3158250,Jacques Berlioz
wd:Q25932222,Eugène Déprez
wd:Q962402,Philarète Chasles
wd:Q673718,Rémi Mathis
wd:Q3056803,Joseph Tardif
wd:Q36481218,Françoise Le Monnier
wd:Q2994439,Conservateur des Bibliothèques
wd:Q43260360,Catherine Cuenca
wd:Q182542,Archives Nationales
wd:Q3124207,Gérard Naud
wd:Q41986619,Armelle Daumas
wd:Q2865116,Arthur Giry
wd:Q2896092,Benjamin Guérard
wd:Q2847277,André Berthier
wd:Q3271205,Léon Mirot
wd:Q3260482,Louis-François-Xavier Rédet
wd:Q34032365,Charles Alleaume de Cugnon
wd:Q2087636,Philippe Lauer
wd:Q2093274,Pierre Champion
wd:Q1445752,Frantz Funck-Brentano
wd:Q2206419,Louis Courajod
wd:Q2831266,Albert Isnard
wd:Q34063031,Marie-Bernard Bernhard
wd:Q1114324,Paul Guillaume
wd:Q3092386,Félix Bourquelot
wd:Q2824916,Adolphe Tardif
wd:Q36459701,Marie-Thérèse Chabord
wd:Q3162060,Jannic Durand
wd:Q28777003,Frédéric Duval
wd:Q16862516,Jules Viard
wd:Q19675,Musée de Louvre
wd:Q28837187,Bernard de Mandrot
wd:Q34041910,Augustin Deloye
wd:Q3291723,Marie-Claude Guigue
wd:Q29896507,Noël Thiollier
wd:Q19952591,Auguste Picard
wd:Q334970,José-Maria de Heredia
wd:Q830540,Georges Huisman
wd:Q3047719,Edmond-René Labande
wd:Q81685,François Mauriac
wd:Q28920319,Eugène Lelong
wd:Q956253,Gabriel Hanotaux
wd:Q16025977,Louis Lefoullon
wd:Q20961921,Agnès Marcetteau-Paul
wd:Q3170452,Jean Augustin Sénemaud
wd:Q3573913,Yves Pérotin
wd:Q378684,Eugène Goyheneche
wd:Q2830378,Alain de Boüard
wd:Q124245,Jean-François Bergier
wd:Q18744706,Jules Delpit
wd:Q36210511,Mireille Lombard
wd:Q3166566,Jean-Julien Barbé
wd:Q3165265,Jean-Claude Waquet
wd:Q2898660,Camille Enlart
wd:Q34058284,Paul Marchegay
wd:Q33825322,André Delmas
wd:Q18391520,Jean Rigault
wd:Q3188544,Jules Doinel
wd:Q3023010,Denise Bernot
wd:Q3156083,Ivan Cloulas
wd:Q3014992,Danielle Gaborit-Chopin
wd:Q3027140,Didier Ozanam
wd:Q3086159,François de Clermont-Tonnerre
wd:Q3261868,Louis Farges
wd:Q3527352,Thérèse Kleindienst
wd:Q3420797,Raymond Delatouche
wd:Q2798870,Maurice Clément
wd:Q15970936,André Vaquier
wd:Q18172345,André Papinot
wd:Q3093918,Gabriel Pérouse
wd:Q2959029,Charles Eudes Bonin
wd:Q3093853,Gabriel Marcel
wd:Q568626,Augustin Cochin
wd:Q2850174,Anita Guerreau-Jalabert
wd:Q36476968,Georgette de Groër
wd:Q34795650,Émile Coüard
wd:Q2364458,René Poupardin
wd:Q28772035,Patrick Arabeyre
wd:Q34034949,Jules Marion
wd:Q16912274,Jules Flammermont
wd:Q29515305,Henri Moranvillé
wd:Q137599,Marianne Mulon
wd:Q2844708,Amédée Tardieu
wd:Q30058691,Colette Meuvret
wd:Q3287827,Marc Bompaire
wd:Q17350591,Olivier Gabet
wd:Q25931580,Charles Astruc
wd:Q1063760,Charles Bonnier
wd:Q3092589,Félix Reynaud
wd:Q3559798,Vincent Pomarède
wd:Q23446593,Ernest Clerc de Landresse
wd:Q2257450,Françoise Adret
wd:Q551316,Henri Brincard
wd:Q678078,Armand d’Artois
wd:Q24935589,Caroline Giron-Panel
wd:Q30002221,Laurent Vissière
wd:Q2833847,Alexandre Maral
wd:Q3271156,Léon Levillain
wd:Q3000448,Paul Durrieu
wd:Q28552605,Adolphe Edmond Dieudonné
wd:Q3293561,Mario Schiff
wd:Q3163743,Jean-Auguste Brutails
wd:Q3271108,Léon Lacabane
wd:Q16222825,Émile Dermenghem
wd:Q19956440,Alfred Leroux
wd:Q21733379,Melchior de Polignac
wd:Q26460027,Charles-Éloi Vial
wd:Q2898807,Bernard de Gaulejac
wd:Q3588349,Émile Biais
wd:Q3302766,Maximilien Quantin
wd:Q3386671,Pierre Pradel
wd:Q28038995,Émile Jolibois
wd:Q3100605,Geneviève Bresc-Bautier
wd:Q153622,Antoine Dareste de La Chavanne
wd:Q36216976,Jacques Yvon
wd:Q28034989,Denise Hillard
wd:Q41988861,Anastasia Iline
wd:Q6548057,Lilli Gjerløw
wd:Q2835114,Alfred Fierro
wd:Q12735144,Matei Cazacu
wd:Q2926789,Bruno Galland
wd:Q15406978,Léonce Celier
wd:Q33178442,François Souchal
wd:Q22996017,Jean Ebersolt
wd:Q3131532,Henri Léonard Bordier
wd:Q41987084,Nicolas Roche
wd:Q41710173,Claire Giordanengo
wd:Q2958598,Charles Bourel de La Roncière
wd:Q2965963,Christine Nougaret
wd:Q3081674,Francis Salet
wd:Q3167429,Jean-Marc Léri
wd:Q3311147,Michel de Boüard
wd:Q3426626,René Merlet
wd:Q28166085,Nicole Felkay
wd:Q25308266,Françoise Mardrus
wd:Q41988426,Philippe Barbat
wd:Q15689791,Bertrand Jestaz
wd:Q36322618,Pierre Duparc
wd:Q3367657,Pascale Bourgain
wd:Q3524504,Thierry Sarmant
wd:Q3085002,François de Vaux de Foletier
wd:Q16916470,Charles Tranchant
wd:Q3484628,Simone de Saint-Exupéry
wd:Q3265698,Lucien Romier
wd:Q28934150,Jean-François Baldi
wd:Q22939964,Jean Daridan
wd:Q3104102,Germain Demay
wd:Q36369926,Léonce Bouyssou
wd:Q3526455,Théodore Leuridan
wd:Q650194,Ngo Dinh Nhu
wd:Q3167394,Jean-Marc Irollo
wd:Q514741,Gaston Paris
