id	label	relation	in	label_relation	label_in
wd:Q2375072	Jean Cavignac	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2375867	Pierre Verlet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2376231	Jacques Perot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2377429	Maxime Préaud	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2391269	Édouard Pommier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2399285	Georges de Manteyer	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2408040	Jules Quicherat	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2426092	François Lesure	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2497623	Michel Pastoureau	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2568062	Paul-Albert Février	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2606667	Charles-Victor Langlois	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2606700	Ramon d'Abadal i de Vinyals	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2636438	Alain Guerreau	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2798870	Maurice Clément	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2824916	Adolphe Tardif	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2825116	Adrien Arcelin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2825127	Adrien Berbrugger	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2826973	Agnès Callu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2829780	Alain Erlande-Brandenburg	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2830378	Alain de Boüard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2830756	Alban Cerisier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2831266	Albert Isnard	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2831331	Albert Lecoy de La Marche	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2831403	Albert Mirot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2831473	Albert Poirot	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2831896	Albin de Chevallet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2833847	Alexandre Maral	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2834077	Alexandre Teulet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2835035	Alfred Coville	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2835114	Alfred Fierro	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2840798	Amable Floquet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2844708	Amédée Tardieu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2845613	Anatole de Montaiglon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2847038	André-Ferdinand Hérold	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2847164	André Artonne	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2847277	André Berthier	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2847336	André Borel d'Hauterive	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2848766	André Vernet	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2850174	Anita Guerreau-Jalabert	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2850820	Anne-Marie Bertrand	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2851000	Anne Brenon	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2854063	Antoine Héron de Villefosse	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2855774	François Avril	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2861197	Ariane James-Sarazin	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2861952	Armand Rendu	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
wd:Q2862434	Camille Pelletan	wdt:P69	wd:Q273570	Scolarité	Ecole Nationale des Chartes
